DC_CODE,DC_NAME,DC_TYPE,FACILITY_TYPE,ADDRESS,URL_GMAPS,AREA_SQM,AREA_LAHAN,AREA_GUDANG,REGION_OPERATION,OWNERSHIP_STATUS,END_CONTRACT_PERIOD,LAT,LONG,SHELVE_TOTAL,PALLET_TOTAL,QTY_MAX_CAPACITY,ADDRESS_ODOO,DISTRICT_NAME,CITY_NAME,STATE_NAME,POSTAL_CODE,COUNTRY_NAME,SJB_CLUSTER_NAME,SALES_CLUSTER_NAME,REGION_OPERATION_NAME,CREATE_TIMESTAMP
D51,DC ECOMMERCE PALEMBANG,DC,FC,ACTIVE,"Jalan HBR Motik Nomor 2213 Km.8 (sebelah gudang Yamaha Thamrin), Kelurahan Karya Baru, Kecamatan Alang Alang Lebar, Palembang 30152",https://maps.app.goo.gl/ge1g3AydLteAf97Y9,,,,Lease,01/11/2027,-2.94,"104,71",,63,,ALANG ALANG LEBAR,PALEMBANG,SUMATRA SELATAN,,,"7 Nov, 2024, 03:34",v,,#DIV/0!,0
D00,HEAD OFFICE,HO,HO,ACTIVE,"Jl. Swadharma Raya Kp. Baru Iii No. 60, Ulujami, Pesanggrahan, Jaksel, 12250",,,,,Lease,,"-6,23","106,76",,,,,,,,,"2 Oct, 2018, 02:19",x,take out,#DIV/0!,0
D02,DC ACEH,DC,DC,ACTIVE,"Desa Pasie Lamgarot, Kecamatan Ingin Jaya, Kabupaten aceh besar, Provinsi aceh.",https://maps.app.goo.gl/wGsbg5j7AtY9Meay7,,1556,,Lease,16/01/2029,"5,56","95,32",275184,93,,INGIN JAYA,ACEH,ACEH,,,"2 Oct, 2018, 02:19",v,,"859,95",79
D16,DC MEDAN,RDC,DC,ACTIVE,"Jalan Sisingamangaraja Km 10,8 Komplek Amplas Trade Centre, Blok Jati No 9-10, Sumatera Utara",https://maps.app.goo.gl/pxhi1FgTxATEaAQr7,,960,,Lease,24/04/2026,"3,58","98,67",780024,223,,NAN,MEDAN,SUMATRA UTARA,,,"2 Oct, 2018, 02:20",v,,"1460,719101",223
M02,DC KLANG-MY,DC,DC,ACTIVE,"Lot Unit 8, No.2, Jalan Tun Teja 2Perdana Industrial Park",https://maps.app.goo.gl/m2tCnDd5t7EesXgK6,,,,Lease,,"3,04","101,45",,1079,,,"PELABUHAN KLANG, SELANGOR DARUL EHSAN",SELANGOR,,,"28 Nov, 2022, 07:54",v,confirm ke Edis (MY),#DIV/0!,0
D34,DC RANTAU PRAPAT,DC,DC,ACTIVE,"Komplek Pergudangan Kusuma, Sirandorung, Rantau Utara, Kab. Labuhan Batu, Sumatera Utara 21411",https://maps.app.goo.gl/kGoG433uKLd8kP9J8,,1610,,Lease,18/12/2025,"2,10","99,83",617456,177,,TAPANULI TENGAH,LABUHANBATU,SUMATRA UTARA,,,"16 Apr, 2019, 03:10",v,,"655,4734607",177
D31,DC MANADO,DC,DC,ACTIVE,"Jalan Manado-Bitung, No 169, Kelurahan Kolongan, Kecamatan Kalawat, Kabupaten Minahasa Utara, Sulawesi Utara 95378",https://maps.app.goo.gl/KcJ8SwHrvAxU6Dab6,,722,,Lease,15/01/2026,"1,49","124,85",387352,111,,KALAWAT,MINAHASA,SULAWESI UTARA,,,"2 Oct, 2018, 02:20",v,,"1173,793939",111
D07,DC TANJUNG PINANG,DC,DC,ACTIVE,"Kantor Operasional : Komplek Metro Industrial Park KM 7 Jalan Kijang Lama Blok D Nomor 11-12, Kelurahan Melayu Kota, Kec Tanjung Pinang Timur, Kota Tanjung Pinang",https://maps.app.goo.gl/YggiiMeLKPNEJmxa6,,731,,Lease,31/03/2026,"0,92","104,45",669700,192,,TANJUNGPINANG TIMUR,TANJUNG PINANG,RIAU,,,"2 Oct, 2018, 02:19",v,,"1280,497132",192
D19,DC PEKANBARU,RDC,DC,ACTIVE,Jalan Air Hitam Komplek Pergudangan Platinum Blok A No. 5 Kelurahan Bina Widya Kecamatan Tampan Kota Pekanbaru Riau,https://maps.app.goo.gl/goSaKXzwpe9QPZjU6,,1660,,Lease,21/05/2027,"0,53","101,45",944468,270,,TAMPAN,PEKANBARU,RIAU,,,"2 Oct, 2018, 02:20",v,,"610,121447",270
D20,DC PONTIANAK,DC,DC,ACTIVE,"Komplek Pergudangan Bumi Raya Utama Group, Jl. Laksda Adi Sucipto Km 8, Kec. Sungai Raya, Kab. Kubu Raya, Prov. Kalimantan Barat 78391",https://maps.app.goo.gl/74AJWkrVxJYmZS6i9,,1821,,Lease,31/12/2026,-0.03,"109,33",604492,173,,SUNGAI RAYA,KUBURAYA,KALIMANTAN BARAT,,,"2 Oct, 2018, 02:20",v,,"466,4290123",173
